draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
793,0.988682157249,1,0.992026065335,0.904761904762,2.24074074074,30,11,50,45
794,0.986357617156,0.818181818182,0.99313117456,0.818181818182,3.2962962963,26,7,34,50
795,0.97903150514,0.818181818182,0.98579553574,0.818181818182,3.87037037037,31,13,57,50
796,0.983451942039,0.818181818182,0.988977488163,0.818181818182,3.38888888889,25,7,28,50
797,0.986043232635,0.818181818182,0.991302028256,0.904761904762,3.05555555556,28,7,28,49
798,0.986357617156,0.904761904762,0.992673887984,1,3.01851851852,30,14,51,46
799,0.97895529071,0.818181818182,0.989682471634,0.904761904762,3.7962962963,32,7,27,50
800,0.983804433774,0.739130434783,0.989168024236,0.818181818182,3.57407407407,29,6,27,48
801,0.977631065001,0.666666666667,0.988920327341,0.739130434783,4.22222222222,30,8,30,50
802,0.98504291825,0.666666666667,0.993455085884,0.739130434783,3.64814814815,24,7,30,50
803,0.986824430535,0.818181818182,0.992816790039,0.904761904762,3,27,17,53,48
804,0.986452885192,0.818181818182,0.995046062096,0.818181818182,3.27777777778,27,9,27,48
805,0.995817733192,0.904761904762,0.992816790039,0.904761904762,1.57407407407,21,12,27,50
806,0.98415692551,0.904761904762,0.993950479675,0.904761904762,2.98148148148,30,7,28,50
807,0.98917755104,0.818181818182,0.995512875475,0.818181818182,2.85185185185,23,8,28,49
808,0.99042556232,0.904761904762,0.992997799308,0.818181818182,2.55555555556,20,8,32,50
809,0.986195661494,0.739130434783,0.984309354369,0.739130434783,3.22222222222,24,8,28,50
810,0.982470681262,0.818181818182,0.992864424057,0.904761904762,3.55555555556,28,14,52,48
811,0.989101336611,0.818181818182,0.98946335515,0.904761904762,2.68518518519,26,15,52,48
812,0.991168653005,0.904761904762,0.996417921823,0.904761904762,2.18518518519,30,11,33,48
813,0.985481151219,0.818181818182,0.99565577753,0.904761904762,2.92592592593,33,8,28,50
814,0.989091809807,0.904761904762,0.993283603418,0.818181818182,2.2037037037,28,8,31,51
815,0.992692941591,1,0.992197547801,0.904761904762,2,23,6,28,48
816,0.984423676012,0.818181818182,0.993512246706,0.818181818182,3.27777777778,29,10,32,50
817,0.983318566788,0.904761904762,0.992902531272,0.904761904762,3.09259259259,28,14,54,49
818,0.985071498661,0.904761904762,0.991835529262,0.818181818182,2.92592592593,32,7,26,49
819,0.989873007707,0.904761904762,0.991406823097,1,2.18518518519,30,10,37,48
820,0.988815532501,0.818181818182,0.993274076615,0.904761904762,2.92592592593,19,7,27,49
821,0.982308725599,0.739130434783,0.987910486153,0.818181818182,3.51851851852,29,8,28,48
822,0.987662789258,1,0.994426819858,0.904761904762,2.44444444444,30,14,56,49
823,0.987634208847,1,0.994607829127,0.904761904762,2.7037037037,31,8,28,49
824,0.990682786018,0.818181818182,0.990825688073,0.904761904762,2.46296296296,24,11,50,49
825,0.989139443825,0.818181818182,0.988005754189,0.818181818182,2.40740740741,27,15,53,47
